,total_profit,algorithm,nbr_func,its,seed,elitism_enum,crossover,selection,popsize,tsize,pmut,zero_prob
207,24945,GA,int_nbr_one_day,10000,1,25,uniform_crossover,tournament_select,100,10,0.01,0.5
208,24659,GA,int_nbr_one_day,10000,1,25,uniform_crossover,tournament_select,100,25,0.01,0.1
209,24659,GA,int_nbr_one_day,10000,1,25,uniform_crossover,tournament_select,100,25,0.01,0.5
210,26669,GA,int_nbr_one_day,10000,1,25,uniform_crossover,tournament_select,100,5,0.05,0.1
211,26589,GA,int_nbr_one_day,10000,1,25,uniform_crossover,tournament_select,100,5,0.05,0.5
212,25924,GA,int_nbr_one_day,10000,1,25,uniform_crossover,tournament_select,100,10,0.05,0.1
213,26111,GA,int_nbr_one_day,10000,1,25,uniform_crossover,tournament_select,100,10,0.05,0.5
214,25226,GA,int_nbr_one_day,10000,1,25,uniform_crossover,tournament_select,100,25,0.05,0.1
215,25369,GA,int_nbr_one_day,10000,1,25,uniform_crossover,tournament_select,100,25,0.05,0.5
216,25887,GA,int_nbr_one_day,10000,1,50,uniform_crossover,tournament_select,100,5,0.01,0.1
217,25873,GA,int_nbr_one_day,10000,1,50,uniform_crossover,tournament_select,100,5,0.01,0.5
218,25736,GA,int_nbr_one_day,10000,1,50,uniform_crossover,tournament_select,100,10,0.01,0.1
219,25726,GA,int_nbr_one_day,10000,1,50,uniform_crossover,tournament_select,100,10,0.01,0.5
220,24630,GA,int_nbr_one_day,10000,1,50,uniform_crossover,tournament_select,100,25,0.01,0.1
221,24636,GA,int_nbr_one_day,10000,1,50,uniform_crossover,tournament_select,100,25,0.01,0.5
222,26439,GA,int_nbr_one_day,10000,1,50,uniform_crossover,tournament_select,100,5,0.05,0.1
223,26038,GA,int_nbr_one_day,10000,1,50,uniform_crossover,tournament_select,100,5,0.05,0.5
224,25840,GA,int_nbr_one_day,10000,1,50,uniform_crossover,tournament_select,100,10,0.05,0.1
225,25914,GA,int_nbr_one_day,10000,1,50,uniform_crossover,tournament_select,100,10,0.05,0.5
226,25365,GA,int_nbr_one_day,10000,1,50,uniform_crossover,tournament_select,100,25,0.05,0.1
227,25342,GA,int_nbr_one_day,10000,1,50,uniform_crossover,tournament_select,100,25,0.05,0.5
228,18506,GA,int_nbr_one_day,10000,1,100,uniform_crossover,tournament_select,100,5,0.01,0.1
229,18947,GA,int_nbr_one_day,10000,1,100,uniform_crossover,tournament_select,100,5,0.01,0.5
230,22436,GA,int_nbr_one_day,10000,1,100,uniform_crossover,tournament_select,100,10,0.01,0.1
231,22397,GA,int_nbr_one_day,10000,1,100,uniform_crossover,tournament_select,100,10,0.01,0.5
232,20021,GA,int_nbr_one_day,10000,1,100,uniform_crossover,tournament_select,100,25,0.01,0.1
233,19265,GA,int_nbr_one_day,10000,1,100,uniform_crossover,tournament_select,100,25,0.01,0.5
234,21466,GA,int_nbr_one_day,10000,1,100,uniform_crossover,tournament_select,100,5,0.05,0.1
235,19575,GA,int_nbr_one_day,10000,1,100,uniform_crossover,tournament_select,100,5,0.05,0.5
236,20648,GA,int_nbr_one_day,10000,1,100,uniform_crossover,tournament_select,100,10,0.05,0.1
237,22905,GA,int_nbr_one_day,10000,1,100,uniform_crossover,tournament_select,100,10,0.05,0.5
238,21240,GA,int_nbr_one_day,10000,1,100,uniform_crossover,tournament_select,100,25,0.05,0.1
239,20825,GA,int_nbr_one_day,10000,1,100,uniform_crossover,tournament_select,100,25,0.05,0.5
240,27304,GA,int_nbr_one_day,10000,1,5,uniform_crossover,tournament_select,200,5,0.01,0.1
241,27303,GA,int_nbr_one_day,10000,1,5,uniform_crossover,tournament_select,200,5,0.01,0.5
242,26128,GA,int_nbr_one_day,10000,1,5,uniform_crossover,tournament_select,200,10,0.01,0.1
243,25895,GA,int_nbr_one_day,10000,1,5,uniform_crossover,tournament_select,200,10,0.01,0.5
244,25751,GA,int_nbr_one_day,10000,1,5,uniform_crossover,tournament_select,200,25,0.01,0.1
245,25751,GA,int_nbr_one_day,10000,1,5,uniform_crossover,tournament_select,200,25,0.01,0.5
246,27234,GA,int_nbr_one_day,10000,1,5,uniform_crossover,tournament_select,200,5,0.05,0.1
247,27466,GA,int_nbr_one_day,10000,1,5,uniform_crossover,tournament_select,200,5,0.05,0.5
248,26778,GA,int_nbr_one_day,10000,1,5,uniform_crossover,tournament_select,200,10,0.05,0.1
249,26551,GA,int_nbr_one_day,10000,1,5,uniform_crossover,tournament_select,200,10,0.05,0.5
250,26344,GA,int_nbr_one_day,10000,1,5,uniform_crossover,tournament_select,200,25,0.05,0.1
251,26310,GA,int_nbr_one_day,10000,1,5,uniform_crossover,tournament_select,200,25,0.05,0.5
252,27910,GA,int_nbr_one_day,10000,1,10,uniform_crossover,tournament_select,200,5,0.01,0.1
253,27958,GA,int_nbr_one_day,10000,1,10,uniform_crossover,tournament_select,200,5,0.01,0.5
254,27126,GA,int_nbr_one_day,10000,1,10,uniform_crossover,tournament_select,200,10,0.01,0.1
255,27127,GA,int_nbr_one_day,10000,1,10,uniform_crossover,tournament_select,200,10,0.01,0.5
256,25870,GA,int_nbr_one_day,10000,1,10,uniform_crossover,tournament_select,200,25,0.01,0.1
257,25880,GA,int_nbr_one_day,10000,1,10,uniform_crossover,tournament_select,200,25,0.01,0.5
258,27212,GA,int_nbr_one_day,10000,1,10,uniform_crossover,tournament_select,200,5,0.05,0.1
259,27358,GA,int_nbr_one_day,10000,1,10,uniform_crossover,tournament_select,200,5,0.05,0.5
260,27163,GA,int_nbr_one_day,10000,1,10,uniform_crossover,tournament_select,200,10,0.05,0.1
261,27207,GA,int_nbr_one_day,10000,1,10,uniform_crossover,tournament_select,200,10,0.05,0.5
262,26254,GA,int_nbr_one_day,10000,1,10,uniform_crossover,tournament_select,200,25,0.05,0.1
263,26261,GA,int_nbr_one_day,10000,1,10,uniform_crossover,tournament_select,200,25,0.05,0.5
264,27180,GA,int_nbr_one_day,10000,1,25,uniform_crossover,tournament_select,200,5,0.01,0.1
265,27145,GA,int_nbr_one_day,10000,1,25,uniform_crossover,tournament_select,200,5,0.01,0.5
266,26994,GA,int_nbr_one_day,10000,1,25,uniform_crossover,tournament_select,200,10,0.01,0.1
267,26994,GA,int_nbr_one_day,10000,1,25,uniform_crossover,tournament_select,200,10,0.01,0.5
